,Non_polar SASA,Total SASA,Average native contact (last 50ns),r_31-36,r_47-51,r_114-118,r_129-139,r_261-265,r_325-329,r_387-402,sum_aprsasa,mean RMSF,Tm,ln(v),temp
Non_polar SASA,-,***,**,***,***,***,***,***,***,***,***,***,,***,***
Total SASA,0.908,-,***,***,***,***,***,***,***,***,***,***,,**,***
Average native contact (last 50ns),-0.438,-0.76,-,**,**,*,*,*,,,**,,,,
r_31-36,0.8,0.748,-0.371,-,***,***,***,***,***,***,***,***,,***,***
r_47-51,0.815,0.764,-0.432,0.847,-,***,***,***,***,***,***,***,,***,***
r_114-118,0.824,0.744,-0.363,0.544,0.586,-,***,***,***,***,***,***,,**,**
r_129-139,0.864,0.757,-0.351,0.604,0.579,0.833,-,***,***,***,***,***,,***,***
r_261-265,0.746,0.695,-0.358,0.633,0.754,0.496,0.505,-,***,***,***,***,,***,***
r_325-329,0.746,0.657,-0.261,0.644,0.675,0.513,0.603,0.648,-,***,***,***,,***,***
r_387-402,0.88,0.731,-0.238,0.648,0.636,0.796,0.846,0.503,0.67,-,***,***,,***,***
sum_aprsasa,0.974,0.863,-0.385,0.818,0.828,0.842,0.889,0.719,0.784,0.92,-,***,,***,***
mean RMSF,0.69,0.514,0.008,0.643,0.568,0.467,0.511,0.547,0.54,0.612,0.662,-,,***,***
Tm,-0.037,-0.007,-0.053,0.095,0.032,-0.041,-0.121,-0.009,0.12,-0.019,-0.006,-0.126,-,**,
ln(v),0.622,0.453,0.004,0.552,0.502,0.422,0.542,0.465,0.464,0.569,0.609,0.836,-0.436,-,***
temp,0.662,0.471,0.042,0.638,0.575,0.399,0.5,0.588,0.506,0.582,0.642,0.95,-0.085,0.843,-
